epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr,grad_mean,param_mean,param_std
1,0.20469671711325646,0.12830961195379495,0.963,1.0,0.0,0.0,0.001,0.007554291700412996,0.13769362051971257,0.22511454542578427
2,0.035032168542966244,0.029737918325699865,1.0,1.0,0.0,0.0,0.001,0.0021399852828709875,0.13269281771499664,0.22832736786286995
3,0.017123315064236522,0.015707101486623288,1.0,1.0,0.0,0.0,0.001,0.0025072498709768354,0.12926475115818903,0.23054315344592063
4,0.010261125024408102,0.010058012919034808,1.0,1.0,0.0,0.0,0.001,0.0011084825551674893,0.12690512769040652,0.23203720120913596
5,0.007095437322277576,0.0073999989181756974,1.0,1.0,0.0,0.0,0.001,0.000608243943420711,0.1251671433346928,0.23302250066969138
6,0.0052614811109378936,0.005484119532164186,1.0,1.0,0.0,0.0,0.001,0.0004900531227489957,0.12371579934551846,0.23369592959153704
7,0.0042860624031163756,0.004378060000482947,1.0,1.0,0.0,0.0,0.001,0.0004815315338790871,0.12239176005709851,0.23419217640635462
8,0.0034233783895615487,0.0035671300910180433,1.0,1.0,0.0,0.0,0.001,0.0005363933047199676,0.12111443827760127,0.23454117297220753
9,0.002986927080200985,0.0028718410624423998,1.0,1.0,0.0,0.0,0.001,0.0011606173325569014,0.1198599706627439,0.23478397880299012
10,0.0023912550532259047,0.0024830215941183268,1.0,1.0,0.0,0.0,0.001,0.0002953779727865799,0.11863704236312067,0.2349536408553637
11,0.002115289802895859,0.0022534168044803663,1.0,1.0,0.0,0.0,0.001,0.0006380716625538074,0.11741101832066247,0.23501121362606145
12,0.0018316940870136023,0.0019139980013715104,1.0,1.0,0.0,0.0,0.001,0.0005514211751811438,0.11620565082424883,0.23500203887069737
13,0.0015694054862251505,0.0016801319884834811,1.0,1.0,0.0,0.0,0.001,0.0001946270464924793,0.11502154639517936,0.23492374029546717
14,0.001434355418314226,0.0015057798709603959,1.0,1.0,0.0,0.0,0.001,0.0004601457097682775,0.1138426280803091,0.2347680091270746
15,0.0013205531053245068,0.001414709250559099,1.0,1.0,0.0,0.0,0.001,0.0003948221417787723,0.11268911268154724,0.23457059465162206
16,0.001128441018227022,0.0013568457943038085,1.0,1.0,0.0,0.0,0.001,0.00010196269182607921,0.11154992474458214,0.23431337245756356
17,0.0010306950673111715,0.0012307387662585825,1.0,1.0,0.0,0.0,0.001,0.00014959253960009772,0.11042513070079574,0.23398774204520978
18,0.0009991665298002771,0.0011461044021416455,1.0,1.0,0.0,0.0,0.001,0.0003409447312908379,0.10932571377886924,0.23361674697388563
19,0.0009032276881043799,0.0010659086415544152,1.0,1.0,0.0,0.0,0.001,0.00013266831839444933,0.10825954318407094,0.2332105974527794
20,0.0009732591614010743,0.0009355007355334237,1.0,1.0,0.0,0.0,0.001,0.0008074537989354869,0.10719618216281623,0.2327501748055843
21,0.0007911635169875808,0.0008525296547159086,1.0,1.0,0.0,0.0,0.001,7.428977625709588e-05,0.10619347862695028,0.23227056088144413
22,0.0006923968729097396,0.0008268638997105882,1.0,1.0,0.0,0.0,0.001,6.0631518506257254e-05,0.10517174853504185,0.23171058733447758
