epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr,grad_mean,param_mean,param_std
23,0.000709978974191472,0.0007859457535087131,1.0,1.0,0.0,0.0,0.001,0.00026335578236038465,0.10417543153458708,0.2311157366495234
24,0.0006471190004958771,0.0007611089954152703,1.0,1.0,0.0,0.0,0.001,0.00014306134362254697,0.10321424563261661,0.2304896735155724
25,0.0006102222265326418,0.0007135608218377456,1.0,1.0,0.0,0.0,0.001,8.17359404810987e-05,0.10226139534208278,0.2298207937479997
26,0.0005612779394141398,0.0006530628374312073,1.0,1.0,0.0,0.0,0.001,7.618707215856528e-05,0.10132879887196156,0.22910851356532094
27,0.0005221492654527537,0.0006322758070891723,1.0,1.0,0.0,0.0,0.001,5.4779661708963256e-05,0.10042202938400424,0.22835372886844318
28,0.0005106026088469662,0.0006146335160301532,1.0,1.0,0.0,0.0,0.001,5.1695210704841635e-05,0.09953162855608921,0.22756763409232297
29,0.0004945649081491866,0.0005932617464859504,1.0,1.0,0.0,0.0,0.001,5.204818071370687e-05,0.0986656430771212,0.2267514364683809
30,0.00046422454761341214,0.000566421821451513,1.0,1.0,0.0,0.0,0.001,3.947289633199997e-05,0.09781807636955125,0.22589843576467075
31,0.00044477523988462053,0.0005675265033205505,1.0,1.0,0.0,0.0,0.001,3.9701198145275854e-05,0.09697502117245357,0.2250146357970702
32,0.00045849004527553916,0.0005335054460301762,1.0,1.0,0.0,0.0,0.001,5.119109808742264e-05,0.09616567539482108,0.22410996722787305
33,0.00042323794405092486,0.000519271760043921,1.0,1.0,0.0,0.0,0.001,4.6402053331798254e-05,0.09536045858313595,0.22317434582619092
34,0.00041580358301871454,0.0004846776393824257,1.0,1.0,0.0,0.0,0.001,3.751301994212031e-05,0.09457340840142132,0.2222098087162816
35,0.00038436713366536425,0.00048573206874425525,1.0,1.0,0.0,0.0,0.001,3.491859362329819e-05,0.09379506710894288,0.2212137365647712
36,0.00038267601921688766,0.0004786439098825213,1.0,1.0,0.0,0.0,0.001,3.6842705852654575e-05,0.09303183565689739,0.2201931671714966
37,0.00036715555179398505,0.0004368847459118115,1.0,1.0,0.0,0.0,0.001,7.274251458088028e-05,0.09227957528704266,0.21914484753086055
38,0.0003794319629378151,0.00042250124042038806,1.0,1.0,0.0,0.0,0.001,8.82607301988087e-05,0.09154499364657306,0.21808361440657614
39,0.0004082824889337644,0.0003707528947852552,1.0,1.0,0.0,0.0,0.001,0.00019438165691928674,0.09083550029119844,0.21700965905905667
40,0.0003558023803634569,0.0003736860049684765,1.0,1.0,0.0,0.0,0.001,0.00011397049325156429,0.09013741811323978,0.21590931266174718
41,0.0003517235687468201,0.0003974380428553559,1.0,1.0,0.0,0.0,0.001,3.4905410632791664e-05,0.08943141362938006,0.21478700726573646
42,0.00033140551822725685,0.00038443659323093014,1.0,1.0,0.0,0.0,0.001,4.824770974736566e-05,0.08872859409099403,0.2136380654906821
43,0.00033506082036183216,0.00035767231832141986,1.0,1.0,0.0,0.0,0.001,6.269678640924772e-05,0.08804101756747972,0.2124710309105255
44,0.00033682782013784164,0.0003838436746300431,1.0,1.0,0.0,0.0,0.001,0.0001810309347183691,0.0873638015993895,0.21127751831670705
45,0.0002998475822096225,0.0003755928452592343,1.0,1.0,0.0,0.0,0.001,3.1296853476262855e-05,0.08670692444475601,0.21007474748640712
46,0.0003180448358762078,0.00035897917869442606,1.0,1.0,0.0,0.0,0.001,8.254082843761265e-05,0.08603438776697707,0.20885104991698497
47,0.0003041240583115723,0.0003518694409140153,1.0,1.0,0.0,0.0,0.001,2.787619267704232e-05,0.08538660933428366,0.20761132638516877
48,0.0003200624654709827,0.0003244277905614581,1.0,1.0,0.0,0.0,0.001,0.00017127027392740534,0.08473670552231258,0.2063547161037519
49,0.0002864808644517325,0.0003185272966948105,1.0,1.0,0.0,0.0,0.001,8.841744544304739e-05,0.08410135760016393,0.205091821106437
50,0.0002897872716857819,0.000317314600237296,1.0,1.0,0.0,0.0,0.001,5.2497627376767164e-05,0.08355156262543507,0.20377005149956584
